report,sym,cohort,key,px_corr,gross_share,role,c_AssetMgr,c_LevFund,c_Other,c_NonRep,c_Dealer,c_Swap,c_MM,c_Prod
tff,6J,Dealer,dealer,-0.523,0.204,COUNTERPARTY,-0.57,-0.823,-0.335,-0.538,,,,
tff,6J,AssetMgr,asset_manager,0.363,0.252,SPEC,,0.168,0.117,0.181,-0.57,,,
tff,6J,LevFund,leveraged,0.364,0.307,SPEC,0.168,,0.006,0.324,-0.823,,,
tff,6J,Other,other_reportable,0.075,0.1,NEUTRAL,0.117,0.006,,0.026,-0.335,,,
tff,6J,NonRep,nonreportable,0.482,0.138,RETAIL,0.181,0.324,0.026,,-0.538,,,
tff,6M,Dealer,dealer,-0.288,0.252,COUNTERPARTY,-0.291,-0.74,-0.313,-0.238,,,,
tff,6M,AssetMgr,asset_manager,0.094,0.29,NEUTRAL,,-0.33,-0.046,-0.022,-0.291,,,
tff,6M,LevFund,leveraged,0.191,0.298,SPEC,-0.33,,0.007,0.1,-0.74,,,
tff,6M,Other,other_reportable,0.068,0.121,NEUTRAL,-0.046,0.007,,0.063,-0.313,,,
tff,6M,NonRep,nonreportable,0.23,0.039,RETAIL,-0.022,0.1,0.063,,-0.238,,,
tff,6N,Dealer,dealer,-0.278,0.38,COUNTERPARTY,-0.629,-0.602,-0.144,-0.391,,,,
tff,6N,AssetMgr,asset_manager,0.179,0.315,SPEC,,-0.193,0.113,0.252,-0.629,,,
tff,6N,LevFund,leveraged,0.123,0.219,NEUTRAL,-0.193,,-0.131,0.024,-0.602,,,
tff,6N,Other,other_reportable,-0.028,0.019,inert,0.113,-0.131,,-0.001,-0.144,,,
tff,6N,NonRep,nonreportable,0.323,0.067,RETAIL,0.252,0.024,-0.001,,-0.391,,,
tff,DX,Dealer,dealer,-0.163,0.224,COUNTERPARTY,-0.16,-0.772,-0.276,-0.147,,,,
tff,DX,AssetMgr,asset_manager,0.356,0.189,SPEC,,-0.263,0.042,0.227,-0.16,,,
tff,DX,LevFund,leveraged,-0.079,0.412,NEUTRAL,-0.263,,-0.233,-0.203,-0.772,,,
tff,DX,Other,other_reportable,0.088,0.097,NEUTRAL,0.042,-0.233,,0.158,-0.276,,,
tff,DX,NonRep,nonreportable,0.371,0.078,RETAIL,0.227,-0.203,0.158,,-0.147,,,
disagg,CL,Prod,producer_merchant,-0.136,0.437,NEUTRAL,,,0.032,-0.056,,0.014,-0.502,
disagg,CL,Swap,swap,-0.232,0.28,COUNTERPARTY,,,-0.188,-0.165,,,-0.59,0.014
disagg,CL,MM,managed_money,0.402,0.13,SPEC,,,-0.466,-0.145,,-0.59,,-0.502
disagg,CL,Other,other_reportable,-0.192,0.099,COUNTERPARTY,,,,0.003,,-0.188,-0.466,0.032
disagg,CL,NonRep,nonreportable,-0.172,0.054,RETAIL,,,0.003,,,-0.165,-0.145,-0.056
disagg,NG,Prod,producer_merchant,-0.257,0.329,COUNTERPARTY,,,0.173,-0.195,,0.087,-0.476,
disagg,NG,Swap,swap,-0.1,0.157,NEUTRAL,,,0.144,-0.182,,,-0.575,0.087
disagg,NG,MM,managed_money,0.483,0.314,SPEC,,,-0.811,0.125,,-0.575,,-0.476
disagg,NG,Other,other_reportable,-0.499,0.133,COUNTERPARTY,,,,-0.21,,0.144,-0.811,0.173
disagg,NG,NonRep,nonreportable,0.071,0.067,RETAIL,,,-0.21,,,-0.182,0.125,-0.195
disagg,RB,Prod,producer_merchant,-0.339,0.56,COUNTERPARTY,,,0.155,-0.579,,-0.011,-0.827,
disagg,RB,Swap,swap,-0.123,0.126,NEUTRAL,,,0.101,-0.183,,,-0.318,-0.011
disagg,RB,MM,managed_money,0.422,0.172,SPEC,,,-0.553,0.498,,-0.318,,-0.827
disagg,RB,Other,other_reportable,-0.359,0.068,COUNTERPARTY,,,,-0.405,,0.101,-0.553,0.155
disagg,RB,NonRep,nonreportable,0.374,0.074,RETAIL,,,-0.405,,,-0.183,0.498,-0.579
disagg,HO,Prod,producer_merchant,-0.371,0.485,COUNTERPARTY,,,0.167,-0.643,,0.073,-0.824,
disagg,HO,Swap,swap,-0.232,0.152,COUNTERPARTY,,,0.026,-0.3,,,-0.305,0.073
disagg,HO,MM,managed_money,0.379,0.133,SPEC,,,-0.523,0.468,,-0.305,,-0.824
disagg,HO,Other,other_reportable,-0.235,0.062,COUNTERPARTY,,,,-0.365,,0.026,-0.523,0.167
disagg,HO,NonRep,nonreportable,0.424,0.168,RETAIL,,,-0.365,,,-0.3,0.468,-0.643
disagg,ZC,Prod,producer_merchant,-0.561,0.463,COUNTERPARTY,,,-0.062,0.192,,-0.294,-0.908,
disagg,ZC,Swap,swap,0.12,0.13,NEUTRAL,,,-0.212,-0.117,,,0.133,-0.294
disagg,ZC,MM,managed_money,0.507,0.196,SPEC,,,-0.236,-0.38,,0.133,,-0.908
disagg,ZC,Other,other_reportable,0.021,0.087,NEUTRAL,,,,0.039,,-0.212,-0.236,-0.062
disagg,ZC,NonRep,nonreportable,-0.025,0.124,RETAIL,,,0.039,,,-0.117,-0.38,0.192
disagg,ZS,Prod,producer_merchant,-0.592,0.548,COUNTERPARTY,,,-0.051,-0.17,,-0.22,-0.882,
disagg,ZS,Swap,swap,0.057,0.128,NEUTRAL,,,-0.138,-0.049,,,0.009,-0.22
disagg,ZS,MM,managed_money,0.55,0.167,SPEC,,,-0.313,0.007,,0.009,,-0.882
disagg,ZS,Other,other_reportable,-0.076,0.071,NEUTRAL,,,,-0.018,,-0.138,-0.313,-0.051
disagg,ZS,NonRep,nonreportable,0.292,0.086,RETAIL,,,-0.018,,,-0.049,0.007,-0.17
disagg,ZM,Prod,producer_merchant,-0.611,0.519,COUNTERPARTY,,,-0.07,-0.491,,-0.08,-0.913,
disagg,ZM,Swap,swap,-0.054,0.137,NEUTRAL,,,-0.017,-0.087,,,-0.112,-0.08
disagg,ZM,MM,managed_money,0.545,0.194,SPEC,,,-0.225,0.299,,-0.112,,-0.913
disagg,ZM,Other,other_reportable,0.019,0.068,NEUTRAL,,,,0.001,,-0.017,-0.225,-0.07
disagg,ZM,NonRep,nonreportable,0.477,0.083,RETAIL,,,0.001,,,-0.087,0.299,-0.491
disagg,ZL,Prod,producer_merchant,-0.609,0.575,COUNTERPARTY,,,-0.036,-0.629,,-0.193,-0.902,
disagg,ZL,Swap,swap,0.048,0.111,NEUTRAL,,,-0.066,-0.028,,,-0.019,-0.193
disagg,ZL,MM,managed_money,0.556,0.176,SPEC,,,-0.282,0.489,,-0.019,,-0.902
disagg,ZL,Other,other_reportable,-0.048,0.072,NEUTRAL,,,,-0.085,,-0.066,-0.282,-0.036
disagg,ZL,NonRep,nonreportable,0.53,0.066,RETAIL,,,-0.085,,,-0.028,0.489,-0.629
disagg,ZW,Prod,producer_merchant,-0.602,0.261,COUNTERPARTY,,,0.264,-0.082,,-0.094,-0.877,
disagg,ZW,Swap,swap,-0.008,0.16,NEUTRAL,,,-0.159,-0.05,,,-0.154,-0.094
disagg,ZW,MM,managed_money,0.576,0.373,SPEC,,,-0.558,-0.078,,-0.154,,-0.877
disagg,ZW,Other,other_reportable,-0.244,0.097,COUNTERPARTY,,,,-0.064,,-0.159,-0.558,0.264
disagg,ZW,NonRep,nonreportable,0.079,0.108,RETAIL,,,-0.064,,,-0.05,-0.078,-0.082
