report,sym,cohort,key,full_role,n_windows,agree_frac,window_roles,counterparty_set_stability,spec_set_stability,stable_enough
tff,6N,AssetMgr,asset_manager,SPEC,70,0.529,SPEC:37 inert:22 NEUTRAL:11,0.771,0.443,True
tff,6N,LevFund,leveraged,NEUTRAL,70,0.229,SPEC:39 NEUTRAL:16 COUNTERPARTY:15,0.771,0.443,True
tff,6N,Other,other_reportable,inert,70,0.914,inert:64 NEUTRAL:5 COUNTERPARTY:1,0.771,0.443,True
tff,6N,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.771,0.443,True
tff,6S,Dealer,dealer,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.571,0.0,False
tff,6S,AssetMgr,asset_manager,SPEC,70,0.529,SPEC:37 inert:33,0.571,0.0,False
tff,6S,LevFund,leveraged,SPEC,70,0.371,COUNTERPARTY:28 SPEC:26 NEUTRAL:16,0.571,0.0,False
tff,6S,Other,other_reportable,inert,70,0.971,inert:68 COUNTERPARTY:2,0.571,0.0,False
tff,6S,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.571,0.0,False
tff,BTC,Dealer,dealer,NEUTRAL,23,0.261,COUNTERPARTY:9 NEUTRAL:6 inert:5 SPEC:3,0.391,0.783,False
tff,BTC,AssetMgr,asset_manager,SPEC,23,0.913,SPEC:21 inert:2,0.391,0.783,False
tff,BTC,LevFund,leveraged,COUNTERPARTY,23,0.913,COUNTERPARTY:21 NEUTRAL:2,0.391,0.783,False
tff,BTC,Other,other_reportable,NEUTRAL,23,0.565,NEUTRAL:13 COUNTERPARTY:10,0.391,0.783,False
tff,BTC,NonRep,nonreportable,RETAIL,23,1.0,RETAIL:23,0.391,0.783,False
tff,DX,Dealer,dealer,COUNTERPARTY,70,0.4,NEUTRAL:42 COUNTERPARTY:28,0.357,0.457,False
tff,DX,AssetMgr,asset_manager,SPEC,70,0.786,SPEC:55 inert:15,0.357,0.457,False
tff,DX,LevFund,leveraged,NEUTRAL,70,0.543,NEUTRAL:38 COUNTERPARTY:27 SPEC:5,0.357,0.457,False
tff,DX,Other,other_reportable,NEUTRAL,70,0.457,NEUTRAL:32 SPEC:23 inert:15,0.357,0.457,False
